# submitted_id	current_id	converted_id	current_symbol
FBgn0029994	FBgn0029994	FBgn0029994	Ldsdh1
FBgn0028974	FBgn0028974	FBgn0028974	xmas-2
FBgn0004635	FBgn0004635	FBgn0004635	rho
FBgn0010583	FBgn0010583	FBgn0010583	dock
FBgn0002909	FBgn0002909	FBgn0002909	mus312
FBgn0029955	FBgn0029955	FBgn0029955	CG15478
FBgn0025583	FBgn0025583	FBgn0025583	IM2
FBgn0030759	FBgn0030759	FBgn0030759	CG13014
FBgn0028372	FBgn0028372	FBgn0028372	isopeptidase-T-3
FBgn0031041	FBgn0031041	FBgn0031041	CG12788
FBgn0031321	FBgn0031321	FBgn0031321	Tgt
FBgn0015571	FBgn0015571	FBgn0015571	alpha-Est3
FBgn0003308	FBgn0003308	FBgn0003308	ry
FBgn0030674	FBgn0030674	FBgn0030674	CG8184
FBgn0019948	FBgn0283509	FBgn0283509	Phm
FBgn0028583	FBgn0028583	FBgn0028583	lcs
FBgn0020503	FBgn0020503	FBgn0020503	CLIP-190
FBgn0031464	FBgn0283531	FBgn0283531	Duox
FBgn0016672	FBgn0016672	FBgn0016672	Ipp
FBgn0015803	FBgn0015803	FBgn0015803	RtGEF
FBgn0010357	FBgn0010357	FBgn0010357	betaTry
FBgn0028979	FBgn0028979	FBgn0028979	tio
FBgn0001330	FBgn0001330	FBgn0001330	kz
FBgn0028980	FBgn0028980	FBgn0028980	tant
FBgn0031420	FBgn0031420	FBgn0031420	Atxn7
FBgn0030748	FBgn0030748	FBgn0030748	Traf-like
FBgn0010441	FBgn0010441	FBgn0010441	pll
FBgn0002732	FBgn0002732	FBgn0002732	E(spl)malpha-BFM
FBgn0030105	FBgn0030105	FBgn0030105	CG15369
FBgn0003997	FBgn0003997	FBgn0003997	hid
FBgn0001250	FBgn0001250	FBgn0001250	if
FBgn0002940	FBgn0002940	FBgn0002940	ninaE
FBgn0031751	FBgn0031751	FBgn0031751	CG9016
FBgn0030305	FBgn0030305	FBgn0030305	Uba5
FBgn0031488	FBgn0031488	FBgn0031488	CG17265
FBgn0001142	FBgn0001142	FBgn0001142	Gs1
FBgn0003169	FBgn0003169	FBgn0003169	put
FBgn0030608	FBgn0030608	FBgn0030608	Lsd-2
FBgn0004419	FBgn0004419	FBgn0004419	me31B
FBgn0029944	FBgn0029944	FBgn0029944	Dok
FBgn0030097	FBgn0030097	FBgn0030097	CG12115
FBgn0031390	FBgn0031390	FBgn0031390	tho2
FBgn0029665	FBgn0029665	FBgn0029665	CG14270
FBgn0028836	FBgn0028836	FBgn0028836	CSN7
FBgn0029727	FBgn0029727	FBgn0029727	CG6978
FBgn0028422	FBgn0028422	FBgn0028422	GluRIID
FBgn0029524	FBgn0029524	FBgn0029524	CG3176
FBgn0030976	FBgn0030976	FBgn0030976	CG7378
FBgn0000568	FBgn0000568	FBgn0000568	Eip75B
FBgn0000439	FBgn0000439	FBgn0000439	Dfd
FBgn0029722	FBgn0029722	FBgn0029722	CG7024
FBgn0029173	FBgn0285971	FBgn0285971	prg
FBgn0021874	FBgn0021874	FBgn0021874	Nle
FBgn0013717	FBgn0013717	FBgn0013717	not
FBgn0003930	FBgn0003930	FBgn0003930	snRNA:U4:39B
FBgn0031632	FBgn0031632	FBgn0031632	CG15628
FBgn0030137	FBgn0030137	FBgn0030137	CG15317
FBgn0030081	FBgn0030081	FBgn0030081	CG7246
FBgn0017457	FBgn0017457	FBgn0017457	U2af38
FBgn0002734	FBgn0002734	FBgn0002734	E(spl)mdelta-HLH
FBgn0029176	FBgn0029176	FBgn0029176	eEF1gamma
FBgn0030357	FBgn0030357	FBgn0030357	Sclp
FBgn0000053	FBgn0000053	FBgn0000053	Gart
FBgn0030658	FBgn0030658	FBgn0030658	CG7872
FBgn0000442	FBgn0000442	FBgn0000442	Pkg21D
FBgn0030038	FBgn0030038	FBgn0030038	CG1440
FBgn0024150	FBgn0024150	FBgn0024150	Ac78C
FBgn0001112	FBgn0001112	FBgn0001112	Gld
FBgn0011642	FBgn0011642	FBgn0011642	Zyx
FBgn0031554	FBgn0031554	FBgn0031554	CG15418
FBgn0000578	FBgn0000578	FBgn0000578	ena
FBgn0005632	FBgn0005632	FBgn0005632	faf
FBgn0030317	FBgn0030317	FBgn0030317	CG1561
FBgn0031701	FBgn0031701	FBgn0031701	TotM
FBgn0024956	FBgn0024956	FBgn0024956	Mat1
FBgn0022986	FBgn0022986	FBgn0022986	qkr58E-1
FBgn0026400	FBgn0026400	FBgn0026400	Noa36
FBgn0002931	FBgn0002931	FBgn0002931	net
FBgn0003388	FBgn0003388	FBgn0003388	shd
FBgn0030060	FBgn0030060	FBgn0030060	CG2004
FBgn0024362	FBgn0024362	FBgn0024362	Naa30A
FBgn0025630	FBgn0025630	FBgn0025630	Rtca
FBgn0028833	FBgn0028833	FBgn0028833	Dak1
FBgn0025683	FBgn0025683	FBgn0025683	CG3164
FBgn0002914	FBgn0002914	FBgn0002914	Myb
FBgn0029824	FBgn0029824	FBgn0029824	CG3726
FBgn0027341	FBgn0027341	FBgn0027341	Gfat1
FBgn0003356	FBgn0003356	FBgn0003356	Jon99Cii
FBgn0027610	FBgn0027610	FBgn0027610	Dic1
FBgn0001986	FBgn0001986	FBgn0001986	Mtr4
FBgn0000667	FBgn0000667	FBgn0000667	Actn
FBgn0020399	FBgn0020399	FBgn0020399	Mst89B
FBgn0020300	FBgn0020300	FBgn0020300	geko
FBgn0027550	FBgn0027550	FBgn0027550	CG6495
FBgn0023175	FBgn0023175	FBgn0023175	Prosalpha7
FBgn0015929	FBgn0015929	FBgn0015929	dpa
FBgn0010350	FBgn0010350	FBgn0010350	Cds
FBgn0030992	FBgn0030992	FBgn0030992	CG33253
FBgn0019686	FBgn0019686	FBgn0019686	lok
FBgn0000287	FBgn0000287	FBgn0000287	salr
