nodeName	altName	nodeAttr.nodesPresent...
Trpgamma	NA	tan
SIFaR	NA	tan
beat-Ib	NA	tan
CG43373	NA	tan
CG42747	NA	tan
CG13054	NA	tan
Hs6st	NA	tan
Hey	NA	tan
Tnks	NA	tan
CG12912	NA	tan
Hr46	NA	tan
CG15098	NA	tan
CG13344	NA	tan
CenG1A	NA	tan
CG42837	NA	tan
CG13920	NA	tan
slim	NA	tan
rdx	NA	tan
TM9SF3	NA	tan
CG9915	NA	tan
CG44243	NA	tan
CG5022	NA	tan
CG1657	NA	tan
Cul4	NA	tan
CG13204	NA	tan
Sc2	NA	tan
Swip-1	NA	tan
CG14234	NA	tan
thoc7	NA	tan
CG42238	NA	tan
RabX4	NA	tan
RN-tre	NA	tan
cl	NA	tan
e(r)	NA	tan
fl(2)d	NA	tan
GCS2alpha	NA	tan
