nodeName	altName	nodeAttr.nodesPresent...
FBgn0020556	NA	green
FBgn0030462	NA	green
FBgn0000337	NA	green
FBgn0030050	NA	green
FBgn0027494	NA	green
FBgn0031623	NA	green
FBgn0030587	NA	green
FBgn0031747	NA	green
FBgn0031097	NA	green
FBgn0031715	NA	green
FBgn0028544	NA	green
FBgn0003162	NA	green
FBgn0024977	NA	green
FBgn0010040	NA	green
FBgn0030331	NA	green
FBgn0028532	NA	green
FBgn0030992	NA	green
FBgn0003358	NA	green
FBgn0015037	NA	green
FBgn0026760	NA	green
FBgn0004635	NA	green
FBgn0029950	NA	green
FBgn0004192	NA	green
FBgn0003888	NA	green
FBgn0028534	NA	green
FBgn0010395	NA	green
FBgn0028950	NA	green
FBgn0002931	NA	green
FBgn0001090	NA	green
FBgn0005626	NA	green
FBgn0031695	NA	green
FBgn0028920	NA	green
FBgn0031518	NA	green
FBgn0031564	NA	green
FBgn0027569	NA	green
FBgn0030976	NA	green
FBgn0004228	NA	green
FBgn0031732	NA	green
FBgn0030348	NA	green
FBgn0025827	NA	green
FBgn0026190	NA	green
FBgn0010651	NA	green
FBgn0026197	NA	green
FBgn0000636	NA	green
FBgn0003328	NA	green
FBgn0030847	NA	green
FBgn0016013	NA	green
FBgn0002773	NA	green
FBgn0031232	NA	green
FBgn0011672	NA	green
FBgn0029837	NA	green
FBgn0010424	NA	green
FBgn0004910	NA	green
FBgn0001297	NA	green
FBgn0023530	NA	green
FBgn0004618	NA	green
FBgn0030357	NA	green
FBgn0005612	NA	green
FBgn0002609	NA	green
FBgn0015797	NA	green
FBgn0030872	NA	green
FBgn0011708	NA	green
FBgn0001987	NA	green
FBgn0027654	NA	green
FBgn0031359	NA	green
FBgn0025456	NA	green
FBgn0004509	NA	green
FBgn0030217	NA	green
FBgn0030088	NA	green
FBgn0011822	NA	green
FBgn0030558	NA	green
FBgn0031629	NA	green
FBgn0027930	NA	green
FBgn0031571	NA	green
FBgn0030259	NA	green
FBgn0000659	NA	green
FBgn0028400	NA	green
FBgn0005658	NA	green
FBgn0031741	NA	green
FBgn0020236	NA	green
FBgn0027594	NA	green
FBgn0030318	NA	green
FBgn0011556	NA	green
FBgn0030816	NA	green
FBgn0003557	NA	green
FBgn0027106	NA	green
FBgn0004783	NA	green
FBgn0005659	NA	green
FBgn0003231	NA	green
FBgn0031630	NA	green
FBgn0022800	NA	green
FBgn0028550	NA	green
FBgn0000206	NA	green
FBgn0023001	NA	green
FBgn0030486	NA	green
FBgn0031489	NA	green
FBgn0023095	NA	green
FBgn0031675	NA	green
FBgn0030796	NA	green
FBgn0030743	NA	green
FBgn0030789	NA	green
FBgn0000489	NA	green
FBgn0030748	NA	green
FBgn0026565	NA	green
FBgn0030745	NA	green
FBgn0003660	NA	green
FBgn0013272	NA	green
FBgn0003248	NA	green
FBgn0002938	NA	green
FBgn0024187	NA	green
FBgn0031821	NA	green
FBgn0027562	NA	green
FBgn0000303	NA	green
FBgn0028327	NA	green
FBgn0031317	NA	green
FBgn0001941	NA	green
FBgn0024321	NA	green
FBgn0029843	NA	green
FBgn0011656	NA	green
FBgn0015794	NA	green
FBgn0031813	NA	green
FBgn0019886	NA	green
FBgn0029121	NA	green
FBgn0027505	NA	green
FBgn0027607	NA	green
FBgn0011274	NA	green
FBgn0014019	NA	green
FBgn0031514	NA	green
FBgn0028394	NA	green
FBgn0011202	NA	green
FBgn0013305	NA	green
FBgn0019890	NA	green
FBgn0028475	NA	green
FBgn0015772	NA	green
FBgn0028427	NA	green
FBgn0031842	NA	green
FBgn0028515	NA	green
FBgn0003317	NA	green
FBgn0000244	NA	green
FBgn0001404	NA	green
FBgn0001986	NA	green
FBgn0002524	NA	green
FBgn0019968	NA	green
FBgn0010812	NA	green
FBgn0010051	NA	green
FBgn0029925	NA	green
FBgn0011016	NA	green
FBgn0028552	NA	green
FBgn0031474	NA	green
FBgn0029608	NA	green
FBgn0004623	NA	green
FBgn0027330	NA	green
FBgn0020381	NA	green
FBgn0028546	NA	green
FBgn0031598	NA	green
FBgn0028741	NA	green
FBgn0031590	NA	green
