"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0020238","FBgn0028515","14-3-3epsilon","EndoGI","PPI: Flybase Curated PPI","-","-"
"FBgn0000028","FBgn0028552","acj6","gammaSnap1","PPI: Flybase Curated PPI","-","-"
"FBgn0000046","FBgn0003231","Act87E","ref(2)P","PPI: Curagen two-hybrid","-.1571",".294"
"FBgn0000064","FBgn0028515","Ald","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003886","FBgn0003888","alphaTub85E","betaTub60D","PPI: From other databases",".123",".564"
"FBgn0000084","FBgn0028515","AnxB10","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0000115","FBgn0028546","Arl1","ics","PPI: Curagen two-hybrid",".0156",".429"
"FBgn0014006","FBgn0027569","Ask1","cert","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0039636","FBgn0003231","Atg14","ref(2)P","PPI: DPiM coAP complex",".1301","-"
"FBgn0032935","FBgn0003231","Atg18b","ref(2)P","PPI: DPiM coAP complex",".2735","-"
"FBgn0000147","FBgn0028515","aurA","EndoGI","PPI: DPiM coAP complex","-.2485","-"
"FBgn0000150","FBgn0028515","awd","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0025185","FBgn0027569","az2","cert","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0028970","FBgn0030796","betaggt-II","CG4829","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".1773",".411"
"FBgn0003888","FBgn0010379","betaTub60D","Akt1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0015247","betaTub60D","Diap2","PPI: From other databases","-.0325","-"
"FBgn0003888","FBgn0015664","betaTub60D","Dref","PPI: From other databases",".0457","-"
"FBgn0003888","FBgn0038928","betaTub60D","Fadd","PPI: From other databases","-.0182","-"
"FBgn0003888","FBgn0024222","betaTub60D","IKKbeta","PPI: From other databases",".2498","-"
"FBgn0003888","FBgn0041205","betaTub60D","key","PPI: From other databases",".2015","-"
"FBgn0003888","FBgn0030344","betaTub60D","Nrd1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0020386","betaTub60D","Pdk1","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0030695","betaTub60D","PGRP-LE","PPI: From other databases","-.1648","-"
"FBgn0003888","FBgn0031006","betaTub60D","rictor","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0283472","betaTub60D","S6k","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0262866","betaTub60D","S6kII","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0026371","betaTub60D","SAK","PPI: From other databases","-","-"
"FBgn0003888","FBgn0013733","betaTub60D","shot","PPI: Flybase Curated PPI","-","-"
"FBgn0003888","FBgn0266411","betaTub60D","sima","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003888","FBgn0086358","betaTub60D","Tab2","PPI: From other databases","-.2669","-"
"FBgn0003888","FBgn0026323","betaTub60D","Tak1","PPI: From other databases",".1174","-"
"FBgn0003888","FBgn0261793","betaTub60D","Trf2","PPI: From other databases",".0511","-"
"FBgn0003888","FBgn0041174","betaTub60D","Vhl","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0003889","FBgn0003231","betaTub85D","ref(2)P","PPI: DPiM coAP complex",".0127","-"
"FBgn0000183","FBgn0015797","BicD","Rab6","PPI: Flybase Curated PPI|PPI: Hybrigenics two-hybrid|PPI: From other databases",".1581",".416"
"FBgn0000229","FBgn0001297","bsk","kay","PPI: Flybase Curated PPI|PPI: From other databases","-.4748","-"
"FBgn0025678","FBgn0027594","CaBP1","drpr","PPI: Flybase Curated PPI","-","-"
"FBgn0000250","FBgn0011274","cact","Dif","PPI: Flybase Curated PPI|PPI: From other databases",".0163","-"
"FBgn0005585","FBgn0028515","Calr","EndoGI","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0015614","FBgn0003660","CanB2","Syb","PPI: DPiM coAP complex","-.2457","-"
"FBgn0002022","FBgn0003162","Catsup","Pu","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0011573","FBgn0015797","Cdc37","Rab6","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0031392","cert","AIF","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0034634","cert","CG10494","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0033463","cert","CG1513","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0033185","cert","CG1603","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0032195","cert","CG4908","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0035181","cert","CG9205","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0035879","cert","GAPcenA","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0027569","FBgn0261988","cert","Gprk2","PPI: From other databases","-","-"
"FBgn0027569","FBgn0052484","cert","Sk2","PPI: Flybase Curated PPI|PPI: From other databases","-","-"
"FBgn0033951","FBgn0003231","CG10139","ref(2)P","PPI: DPiM coAP complex","-.122","-"
"FBgn0032689","FBgn0015797","CG10413","Rab6","PPI: DPiM coAP complex",".0698","-"
"FBgn0028858","FBgn0003231","CG10839","ref(2)P","PPI: DPiM coAP complex",".0183","-"
